name,g_aj,g_db,g_vc,g_hs,g_js,g_pg,g_nm,g_df,g_hb,g_dp,g_zf,g_dn,g_pt,g_bl,g_ht,g_zt,g_hy,g_kr,g_ph,g_kd,g_gs,g_gw,g_gsm,g_blm,g_gg,g_cz,g_gpm,g_gp_l,g_gp_a,g_gp_b,g_Asp,g_Thr,g_Ser,g_Glu,g_Pro,g_Gly,g_Ala,g_Cyr,g_Val,g_Met,g_Ile,g_Leu,g_Tyr,g_Phe,g_Lys,g_His,g_Arg,w_hs,w_dn,w_zf,w_jz,w_bl,w_dp,w_sz_l,w_sz_a,w_sz_b
r_g_11,2355.695 ,542.662 ,0.076 ,7.787 ,9.290 ,8.610 ,1.900 ,14.260 ,91.468 ,0.279 ,6.075 ,4.543 ,2.517 ,26.851 ,25.575 ,209.563 ,237.891 ,210.200 ,3.533 ,5.497 ,38.244 ,24.527 ,177.830 ,118.800 ,3.410 ,58.410 ,0.102 ,28.027 ,12.150 ,3.873 ,94.423 ,111.669 ,141.577 ,186.516 ,1150.094 ,158.356 ,83.159 ,33.213 ,23.934 ,7.166 ,13.443 ,18.069 ,3.532 ,4.622 ,29.088 ,17.708 ,255.188 ,11.838 ,4.588 ,4.023 ,2.103 ,0.382 ,0.105 ,88.790 ,12.140 ,19.540 
r_g_12,2556.788 ,493.460 ,0.065 ,32.343 ,6.080 ,5.330 ,1.130 ,21.080 ,132.216 ,0.197 ,12.059 ,7.169 ,3.897 ,0.696 ,2.480 ,247.659 ,262.155 ,261.100 ,3.433 ,8.537 ,30.584 ,27.614 ,191.947 ,187.733 ,2.397 ,63.300 ,0.243 ,26.573 ,2.043 ,0.007 ,63.324 ,71.680 ,69.347 ,47.885 ,2127.908 ,36.841 ,13.984 ,17.059 ,19.035 ,3.958 ,16.049 ,14.603 ,5.175 ,5.913 ,6.214 ,3.288 ,15.490 ,84.079 ,6.458 ,4.817 ,2.986 ,2.163 ,0.141 ,53.680 ,50.450 ,30.590 
r_g_13,1416.111 ,606.204 ,0.015 ,65.324 ,4.300 ,0.830 ,1.150 ,28.076 ,99.881 ,0.441 ,14.385 ,9.822 ,7.330 ,10.863 ,40.759 ,197.857 ,212.237 ,203.367 ,3.860 ,4.337 ,23.750 ,23.353 ,159.970 ,147.967 ,4.673 ,68.100 ,0.160 ,27.530 ,1.043 ,-1.567 ,54.302 ,110.633 ,80.649 ,72.318 ,621.254 ,41.251 ,28.386 ,16.760 ,37.673 ,15.111 ,21.496 ,36.358 ,4.020 ,2.504 ,39.271 ,28.771 ,167.684 ,200.080 ,6.385 ,4.930 ,3.957 ,1.339 ,0.166 ,41.590 ,58.730 ,19.600 
r_g_14,1237.808 ,599.829 ,0.060 ,140.257 ,5.730 ,4.120 ,1.630 ,41.577 ,991.046 ,0.360 ,14.657 ,13.941 ,7.809 ,6.313 ,134.638 ,191.508 ,255.335 ,193.867 ,3.390 ,5.400 ,35.903 ,24.060 ,209.107 ,136.267 ,4.603 ,66.153 ,0.255 ,25.413 ,1.193 ,-0.567 ,71.274 ,56.408 ,104.500 ,64.283 ,677.782 ,39.088 ,51.426 ,22.230 ,15.729 ,1.696 ,12.668 ,11.663 ,1.119 ,3.369 ,14.765 ,12.045 ,62.033 ,251.570 ,6.073 ,5.013 ,3.068 ,2.166 ,0.163 ,24.220 ,56.170 ,35.300 
r_g_15,2177.913 ,524.613 ,0.068 ,52.792 ,6.230 ,3.630 ,2.060 ,25.743 ,157.997 ,0.219 ,11.901 ,25.417 ,5.511 ,0.211 ,9.718 ,179.107 ,208.933 ,214.867 ,3.187 ,8.567 ,25.093 ,25.012 ,159.310 ,174.467 ,2.903 ,67.697 ,0.213 ,25.527 ,1.980 ,-0.010 ,85.202 ,223.119 ,226.604 ,172.687 ,817.568 ,96.017 ,100.864 ,34.217 ,35.082 ,10.719 ,23.906 ,41.259 ,2.104 ,7.543 ,48.429 ,31.445 ,186.066 ,122.592 ,3.985 ,4.064 ,1.836 ,0.889 ,0.068 ,52.950 ,57.870 ,19.090 
r_g_16,1553.503 ,583.374 ,0.083 ,60.660 ,9.030 ,7.280 ,2.380 ,13.648 ,529.969 ,0.237 ,11.214 ,10.086 ,9.157 ,4.556 ,8.190 ,204.008 ,189.275 ,205.633 ,3.297 ,4.923 ,41.761 ,22.346 ,119.173 ,109.333 ,3.793 ,71.833 ,0.135 ,26.113 ,1.333 ,-0.343 ,73.341 ,110.717 ,110.488 ,112.052 ,679.252 ,46.949 ,40.084 ,27.079 ,23.883 ,3.974 ,14.310 ,19.169 ,3.564 ,12.910 ,42.029 ,28.127 ,181.693 ,171.502 ,4.832 ,4.044 ,2.668 ,1.162 ,0.117 ,50.470 ,59.450 ,18.200 
r_g_17,1713.652 ,548.833 ,0.056 ,59.424 ,5.880 ,5.110 ,0.880 ,17.174 ,129.581 ,0.359 ,15.336 ,15.730 ,8.701 ,0.711 ,43.812 ,212.738 ,271.504 ,238.200 ,3.430 ,8.660 ,27.512 ,26.276 ,446.637 ,264.100 ,2.797 ,71.533 ,0.330 ,25.400 ,1.180 ,-0.247 ,107.190 ,95.606 ,89.149 ,100.967 ,806.563 ,62.420 ,44.848 ,26.377 ,32.110 ,5.487 ,20.143 ,28.517 ,4.673 ,10.124 ,47.157 ,24.224 ,175.988 ,234.420 ,9.170 ,6.168 ,4.912 ,1.650 ,0.310 ,41.210 ,56.030 ,25.120 
r_g_18,2398.382 ,513.817 ,0.112 ,40.228 ,3.600 ,5.590 ,0.520 ,27.077 ,158.870 ,0.226 ,7.381 ,5.388 ,5.245 ,0.416 ,6.516 ,226.032 ,265.773 ,226.567 ,3.267 ,8.033 ,28.207 ,26.338 ,196.007 ,208.400 ,2.597 ,63.067 ,0.160 ,25.520 ,2.867 ,0.213 ,32.454 ,71.487 ,52.064 ,38.222 ,2097.613 ,24.310 ,10.005 ,11.423 ,10.846 ,1.595 ,4.615 ,4.443 ,1.336 ,2.761 ,5.996 ,3.830 ,14.536 ,71.902 ,4.447 ,4.353 ,3.531 ,1.740 ,0.138 ,58.180 ,54.720 ,22.550 
r_g_19,2463.603 ,544.462 ,0.072 ,115.704 ,5.560 ,4.270 ,0.130 ,30.408 ,202.962 ,0.380 ,17.426 ,13.700 ,9.454 ,3.821 ,31.265 ,205.794 ,220.333 ,214.900 ,3.573 ,6.813 ,31.537 ,23.441 ,173.093 ,168.833 ,6.317 ,67.433 ,0.162 ,27.193 ,0.797 ,-1.513 ,72.942 ,96.134 ,91.108 ,68.700 ,1438.085 ,165.663 ,68.054 ,32.068 ,41.575 ,4.440 ,8.756 ,30.103 ,1.916 ,2.351 ,29.218 ,26.226 ,244.691 ,198.614 ,5.981 ,5.157 ,3.875 ,9.027 ,0.167 ,47.700 ,64.930 ,20.670 
r_g_20,2273.627 ,559.332 ,0.024 ,23.523 ,3.510 ,0.920 ,0.440 ,12.439 ,89.770 ,0.282 ,12.677 ,8.115 ,8.155 ,1.545 ,9.626 ,193.194 ,227.338 ,209.100 ,3.810 ,5.167 ,40.479 ,22.933 ,307.143 ,334.300 ,3.153 ,59.533 ,0.232 ,27.087 ,1.957 ,-0.433 ,73.486 ,157.316 ,131.454 ,177.912 ,754.893 ,9.893 ,100.699 ,12.619 ,42.041 ,17.171 ,29.963 ,44.744 ,3.031 ,2.787 ,76.887 ,59.413 ,537.279 ,74.377 ,5.864 ,4.858 ,4.044 ,0.964 ,0.158 ,78.480 ,26.390 ,15.870 
r_g_21,6346.831 ,563.794 ,0.050 ,89.282 ,15.510 ,2.930 ,2.380 ,18.123 ,194.262 ,0.379 ,16.192 ,13.613 ,7.515 ,7.847 ,47.220 ,205.794 ,259.110 ,216.900 ,3.563 ,6.783 ,31.992 ,26.948 ,147.660 ,106.100 ,4.743 ,60.400 ,0.108 ,25.180 ,1.213 ,-0.003 ,69.492 ,180.027 ,194.107 ,107.727 ,5144.812 ,62.225 ,16.363 ,53.637 ,41.456 ,13.659 ,16.124 ,34.279 ,2.538 ,2.226 ,92.408 ,41.043 ,233.251 ,313.784 ,10.090 ,8.941 ,4.440 ,8.794 ,0.358 ,21.500 ,52.800 ,35.210 
r_g_22,2566.609 ,488.712 ,0.074 ,74.027 ,6.490 ,7.730 ,0.770 ,21.824 ,417.665 ,0.284 ,16.442 ,12.155 ,7.846 ,4.289 ,13.800 ,224.147 ,226.399 ,234.700 ,3.647 ,5.967 ,39.361 ,25.674 ,106.613 ,115.833 ,3.320 ,57.433 ,0.147 ,25.940 ,1.520 ,-0.070 ,110.517 ,207.259 ,251.113 ,237.699 ,863.991 ,197.322 ,70.863 ,43.769 ,58.804 ,11.856 ,66.933 ,66.979 ,6.675 ,5.253 ,44.609 ,43.583 ,220.582 ,251.017 ,7.105 ,6.199 ,5.827 ,4.467 ,0.231 ,40.550 ,54.050 ,26.200 
r_g_23,2380.811 ,543.574 ,0.097 ,172.626 ,4.080 ,5.200 ,0.390 ,16.406 ,427.028 ,0.572 ,29.704 ,24.257 ,24.295 ,9.968 ,44.748 ,207.679 ,212.564 ,208.767 ,3.390 ,6.907 ,30.233 ,23.383 ,278.750 ,219.067 ,3.837 ,77.467 ,0.233 ,26.647 ,1.383 ,-0.420 ,120.856 ,138.147 ,159.472 ,131.541 ,1341.124 ,106.714 ,78.871 ,35.512 ,42.273 ,11.398 ,18.607 ,35.539 ,10.490 ,6.548 ,33.951 ,18.550 ,48.945 ,413.940 ,10.888 ,12.529 ,12.144 ,12.682 ,0.566 ,14.600 ,46.860 ,25.070 
r_g_24,1638.827 ,525.820 ,0.033 ,144.881 ,8.360 ,4.600 ,1.700 ,15.066 ,144.729 ,0.283 ,8.751 ,14.417 ,8.206 ,2.935 ,14.380 ,201.825 ,244.512 ,203.333 ,3.607 ,7.267 ,27.983 ,25.815 ,517.454 ,237.367 ,2.990 ,76.733 ,0.247 ,25.967 ,0.897 ,-0.287 ,58.603 ,160.813 ,148.579 ,59.234 ,797.553 ,88.556 ,79.400 ,34.073 ,30.324 ,6.188 ,11.215 ,8.595 ,1.859 ,2.469 ,24.416 ,17.463 ,79.163 ,270.108 ,5.747 ,5.394 ,3.731 ,6.869 ,0.165 ,42.840 ,59.060 ,17.680 
r_g_25,1409.703 ,537.084 ,0.064 ,49.643 ,2.870 ,2.480 ,0.160 ,14.280 ,140.946 ,0.351 ,11.502 ,9.324 ,5.373 ,2.129 ,30.211 ,150.337 ,156.038 ,194.633 ,3.383 ,8.533 ,22.809 ,18.515 ,288.690 ,251.300 ,4.097 ,58.500 ,0.220 ,27.097 ,1.520 ,-0.920 ,73.278 ,130.813 ,115.847 ,150.567 ,479.174 ,88.028 ,57.018 ,41.965 ,26.154 ,4.378 ,15.941 ,20.849 ,1.456 ,3.434 ,36.195 ,16.049 ,122.403 ,158.569 ,5.406 ,4.425 ,3.022 ,2.579 ,0.165 ,50.240 ,63.780 ,11.530 
r_g_26,851.169 ,587.293 ,0.416 ,58.469 ,7.150 ,1.400 ,0.820 ,32.026 ,82.359 ,0.317 ,7.348 ,3.778 ,3.383 ,2.086 ,13.917 ,173.353 ,197.377 ,195.733 ,3.683 ,4.580 ,42.735 ,19.758 ,793.467 ,245.500 ,3.353 ,68.300 ,0.230 ,27.997 ,1.093 ,-0.827 ,58.999 ,95.656 ,74.472 ,47.828 ,147.704 ,22.809 ,28.722 ,14.936 ,19.487 ,4.303 ,18.415 ,23.335 ,5.759 ,3.978 ,37.286 ,33.455 ,194.539 ,151.481 ,3.615 ,3.889 ,2.154 ,2.737 ,0.076 ,33.500 ,62.050 ,29.180 
r_g_27,1116.612 ,528.331 ,0.091 ,34.190 ,6.230 ,1.390 ,1.260 ,23.035 ,592.199 ,0.265 ,8.897 ,10.310 ,4.711 ,1.569 ,15.981 ,196.667 ,213.216 ,206.900 ,3.370 ,6.973 ,29.670 ,23.329 ,282.087 ,148.733 ,3.507 ,59.500 ,0.200 ,28.790 ,2.333 ,-1.227 ,51.452 ,132.547 ,79.062 ,48.361 ,418.010 ,29.249 ,28.580 ,9.964 ,28.737 ,5.404 ,10.468 ,32.747 ,7.440 ,4.764 ,27.458 ,24.443 ,149.189 ,138.455 ,5.961 ,4.734 ,3.284 ,4.776 ,0.151 ,63.140 ,48.730 ,15.980 
