name,g_Acetaldehyde,g_Acetone,g_Acetic acid_methyl ester,g_Ethyl Acetate,g_Butanal_3-methyl-,g_Ethanol,g_Propanoic acid_ethyl ester,g_2-Pentanone,g_Acetic acid_2-methylpropyl ester,g_Trichloromethane,g_Toluene,g_Acetic acid_butyl ester,g_Hexanal,g_1-Propanol_2-methyl-,g_1-Butanol_3-methyl-_acetate,g_o-Xylene,g_á-Pinene,g_Acetic acid_pentyl ester,g_Limonene,g_1-Butanol_3-methyl-,g_2-Hexenal_(E)-,g_Hexanoic acid_ethyl ester,g_1-Pentanol,g_Acetic acid_hexyl ester,g_2-Octanone,g_4-Hexen-1-ol_acetate_(Z)-,g_2-Heptenal_(Z)-,g_1-Hexanol,g_Acetic acid_heptyl ester,g_3-Hexen-1-ol_(Z)-,g_Nonanal,g_2-Hexen-1-ol_(E)-,g_Octanoic acid_ethyl ester,g_1-Octen-3-ol,g_1-Heptanol,g_5-Hepten-2-ol_6-methyl-,g_Acetic cid_octyl ester,g_1-Hexanol_2-ethyl-,g_Nonanoic acid_ethyl ester,g_1-Octanol,g_2-Furancarboxaldehyde_5-methyl-,"g_2,6-Nonadienal_(E,Z)-","g_2-Ethylcyclohexanol,c&t",g_Benzeneacetaldehyde,g_1-Nonanol,"g_2,6-Octadienal_3,7-dimethyl-_(Z)-","g_2,6-Octadienoic acid_3,7-dimethyl-_methyl ester",g_2-Nonen-1-ol_(E)-,g_Naphthalene,"g_6-Octen-1-ol_3,7-dimethyl-_(R)",g_Oxime-_methoxy-phenyl-_,g_Acetic acid_2-phenylethyl ester,g_Benzene_1-methoxy-4-(1-propenyl)-,"g_2,6-Octadien-1-ol_3,7-dimethyl-_(E)-",g_Phenylethyl Alcohol,w_Acetaldehyde,w_Ethyl Acetate,w_Ethanol,"w_Propanoic acid,ethyl ester",w_n-Propyl acetate,"w_Acetic acid, 2-methylpropyl ester","w_Butanoic acid, ethyl ester",w_1-Propanol,"w_2,3-Pentanedione",w_Undecane,"w_1-Propanol, 2-methyl-","w_1-Butanol, 3-methyl-, acetate","w_Acetic acid, pentyl ester",w_Limonene,"w_1-Butanol,3-methyl","w_Hexanoic acid, ethyl ester",w_Styrene,"w_Acetic acid, hexyl ester",w_2-Octanone,w_Tridecane,"w_Heptanoic acid, ethyl ester","w_2-Hexenoic cid, ethyl ester","w_Propanoic acid, 2-hydroxy-, ethyl ester, (S)-",w_1-Hexanol,"w_Acetic acid, heptyl ester","w_Octanoic acid, methyl ester","w_Octanoic acid, ethyl ester",w_Isopentyl hexanoate,w_1-Heptanol,w_Acetic acid,"w_Acetic acid, octyl ster","w_1-Hexanol, 2-ethyl-",w_Geranyl ethyl ether ,w_Propyl octanoate,w_2-Nonanol,"w_Nonanoic acid, ethyl ester","w_1,6-Octadien-3-ol, 3,7-dimethyl-",w_1-Octanol,"w_2-Furancarboxaldehyde, 5-methyl-","w_Decanoic acid, methyl ester","w_1,5,-Octatrien-3-ol, 3,7-dimethyl-","w_Ethanol, 2-(2-ethoxyethoxy)-",w_Butanoic acid,"w_Decanoic acid, ethyl ester","w_Octanoic acid, 3-methylbutyl ester","w_Hexanoic acid, 2-methyl-","w_Butanedioic acid, diethyl ester",w_Ethyltrans-4-decenoate,"w_1-Propanol, 3-(methylthio)-","w_6-Octen-1-ol, 3,7-dimethyl-, (R)-","w_Acetic acid, 2-phenylethyl ester","w_Dodecanoic acid, ethyl ester","w_Pentadecanoic acid, 3-methylbutyl ester",w_Benzyl Alcohol,w_Phenylethyl Alcohol,w_2-Pyrrolidinone,"w_Tetradecanoic acid, ethyl ester",w_Octanoic Acid,"w_1-Propanol, 2-phenoxy-","w_1,1'-Biphenyl, 4-methyl-","w_7-Methoxy-2,2,4,8-tetramethyltricyclo[5.3.1.0(4,11)]undecane",w_2-Methoxy-4-vinylphenol,"w_Hexadecanoic cid, ethyl ester",w_n-Decanoic acid,"w_Phenol, 2,4-bis(1,1-dimethylethyl)-",w_Glycerin,w_Ethyl hydrogen succinate,"w_Benzofuran, 2,3-dihydro-",w_Benzoic Acid,w_Dodecanoic acid,"w_1,2-Benzenedicarboxylic acid, bis(2-methylpropyl) ester",w_Isosorbide,"w_1,4-Benzenediol, 2,5-bis(1,1-dimethylethyl)-"
r_g_11,0.927,5.902,0,17.538,1.686,20.489,0,1.855,1.855,0.927,1.897,1.054,26.897,0,0.084,0.169,0.295,0,2.066,0.422,30.987,2.403,0.801,0,3.288,0,2.951,82.04,0,2.74,0.59,53.246,0,1.012,0.422,0,0,4.089,0.927,0.422,0.885,0,0.379,0,0.295,0,0,0,1.686,0,5.101,0,0,1.939,0.59,1.155,5.026,53.304,0,0.096,0.279,1.148,0,0.193,0,0.776,9.184,0.096,0.096,13.993,17.499,0,1.117,2.11,0,0,0.31,0,0.745,0.186,0,0.124,0.096,0.186,1.733,0.481,0.096,0.866,0.217,1.444,0.289,0.248,0.891,0.186,0.776,0.289,0.217,0,19.826,1.528,0.341,1.675,2.265,0.096,3.273,1.644,4.034,0.155,0.963,12.038,0.289,0.385,5.554,0,0.096,0.652,0.866,1.155,2.141,0.289,35.898,1.348,2.118,0.289,0.674,0.093,0,1.148
r_g_12,15.823,15.823,800,2339.873,73.418,138.608,14.557,29.114,17.722,1.899,11.392,6.962,3.165,1.899,91.139,0,0,16.456,0,51.266,2.532,0,8.861,987.342,268.354,7.595,2.532,605.696,10.127,13.924,0,13.924,10.759,5.063,1.899,2.532,1.266,32.278,3.165,0,7.595,0.633,0,2.532,0,0,2.532,0,3.797,0,59.494,2.532,1.266,1.899,12.025,1.294,10.172,76.219,4.459,0,0.232,2.183,1.942,0,0,1.347,25.36,2.157,0,0,70.32,0.216,1.579,2.09,0,0,1.115,0,2.369,0.093,0,0.139,1.079,3.251,0,1.079,0,2.804,0.882,4.099,2.157,1.208,1.835,1.161,1.672,0.216,0.139,0,8.546,1.835,3.043,1.951,1.208,0.863,49.187,6.642,2.833,0.093,3.883,22.898,0.647,0,2.137,0.647,0,0.279,0,0.647,1.858,0,73.85,2.589,1.942,0.431,0.863,0.232,1.294,0.418
r_g_13,2.813,0,235.038,1151.407,0,78.772,10.742,10.742,24.041,0,4.092,1.79,1.023,4.604,105.627,0.767,0,4.092,0,75.448,3.069,0,2.558,138.619,110.742,2.302,0,258.568,0,10.23,0,6.394,4.859,0,1.79,1.535,1.023,3.581,1.279,0,3.836,0,0,3.325,1.023,0,0,0,1.535,0,26.087,5.115,0,1.79,28.9,1.034,11.869,53.934,0.455,0.414,0.455,2.41,0,0,0,1,30.787,0,0.414,37.472,35.698,2.275,1.592,3.183,0,2.895,0.455,0.414,1.501,0.227,2.068,77.717,0,2.001,0.414,0.414,0.207,1.654,0.409,1.034,1.034,0.455,3.027,0.546,0.318,0,0.136,0.62,28.467,4.036,0.455,1.819,5.048,0.207,5.79,2.046,4.638,0.182,0,13.415,0,0.414,8.959,0,0,0.864,0,0.827,2.501,26.264,1.091,0.62,0,0,0,0.136,0,1.273
r_g_14,0.908,4.978,0,17.478,3.089,20.276,0,1.89,0,0.945,1.599,0,39.317,0.581,0.327,0.545,0.436,1.672,0,0.836,34.23,0,0.472,0,2.98,0,1.09,57.013,0,4.288,0.436,24.927,0.145,0.327,0.291,0,0,4.179,0.654,0.218,0.763,0.073,0,0.254,0.254,0,0,0,1.163,0,3.888,0,0,0.363,1.599,0.344,4.135,41.144,0.235,0.172,2.786,0.674,0.258,0.086,0.344,0.381,8.182,0.086,0,0,32.933,0,0.645,1.76,0,1.204,0.147,0.172,0.411,0.205,0,0.205,0,0.909,0.516,0,0,0.86,0.323,0.946,0.43,0.147,0.692,0.293,0.968,0.086,0.44,0,18.827,1.499,0.499,1.76,3.255,0.086,0.43,1.408,3.167,0.176,0.516,10.469,0.258,0.258,4.428,0,0.172,0.469,0.086,0.516,1.642,0.258,32.991,1.118,0.516,0.258,0.344,0.088,0.172,0.909
r_g_15,2.446,3.168,4.002,199.222,0,49.138,0,2.613,0,1.834,1.723,0,0.889,0,0,0.389,0.5,2.057,0,8.171,1.779,0.167,1.278,0,4.725,0,0.723,68.26,0,1.112,0.222,24.625,0,0.389,0.445,0,0,2.001,0.945,0.222,1.278,0,0,0,0.278,0,0,0.278,0.556,0,7.727,0,0,0.334,1.723,0.781,14.388,77.143,0,0.521,0.765,3.01,0,0,0,1.02,27.5,1.302,0,35.255,30.459,4.425,1.071,3.724,0,1.562,0.459,0.521,1.582,0.204,1.822,84.847,0,2.449,0.521,0,0.26,9.371,0.204,3.644,3.124,0.255,2.491,0.663,2.194,0,0.561,0,21.48,2.389,0.867,3.724,5.51,0,1.041,1.429,3.571,0.204,1.041,9.745,1.041,0,6.071,0,0,0.51,0,0.781,1.684,0,45.816,2.082,0.521,0,0.26,0.102,0.781,1.02
r_g_16,0.749,5.025,0,11.86,3.402,22.628,0,2.341,0,0.499,0.624,0,9.426,0,0,0.156,0,0.968,0,1.592,6.086,1.841,0.78,0,3.152,0,0.749,68.258,0,0.874,0.406,26.685,0.125,0.624,0.25,0,0,1.061,3.995,0,0.593,2.185,0,0.094,0.187,0,0,1.529,0.749,0,6.149,0,0,0.281,0.843,3.937,14.685,45.253,0.488,0.787,0.355,2.484,0,0,0,0.799,40.994,0.394,0.984,33.319,39.352,3.346,2.44,3.505,1.378,2.362,2.884,0.59,1.553,0.399,1.771,91.925,0,2.13,0,0.394,0.394,3.346,0.222,2.559,1.575,0.133,1.688,0.532,0.177,0,0.044,0.787,18.988,3.396,0.089,1.508,5.102,0,3.543,1.42,3.194,0.177,0.394,6.921,0.197,0,7.808,0,0,0,0,0.197,1.863,0.197,0.089,0,0,0,0,0,0,0
r_g_17,2.196,3.173,0,91.855,6.559,12.965,0,0.488,0.854,0.946,1.312,0.519,16.931,0,0.122,0.397,0,1.007,0,0.61,8.725,0.275,0.336,0,2.624,0,0.519,14.43,0,0.122,0.458,4.057,0.153,0.366,0.122,0.153,0,0.61,0.641,0.122,0.61,0.275,0,0.488,0.275,0,0,0,0.549,0,3.203,0,0,0.275,0.702,1.801,17.096,74.027,0,0.6,0.603,3.233,0,0,0,1.37,65.425,0.3,1.801,45.151,44.164,4.804,1.589,3.452,0,0.6,0.438,0.3,0.767,0.877,2.102,96.164,0,2.685,0.6,0.6,0.6,10.208,0.274,0.901,0.901,0.11,3.195,0.384,0.164,0,0.164,0.901,24.055,2.84,0.712,1.699,6.959,0.3,0,2.795,4.712,0.219,0.3,18.575,0,0.6,7.123,0,0,0.438,0,1.201,1.26,0,0.219,1.201,0.3,0,0,0.11,0,0.986
r_g_18,0.428,1.473,0,10.166,0.38,11.211,0,0.855,0,0.523,0.903,0,21.853,0,0.095,0,0,0.95,0,0.285,18.242,0,0.475,0,2.185,0,2.328,196.627,0,1.805,0.19,63.183,0.428,1.425,0.428,0,0,3.8,0.57,1.568,0.523,0,0.523,0.095,0.143,0,0.048,0,0.428,0,3.468,0,0,0.428,0.333,4.165,12.49,77.416,0.825,0,0.275,1.178,0,0,0,1.964,19.992,0.771,0.154,71.367,10.526,0,0.668,2.671,0,1.697,0.353,0.771,2.946,0,0.154,13.158,0,1.65,0.309,0,0,4.165,0.275,0.309,0,0.118,1.161,0.432,0.079,0,0.118,0.617,4.006,0,1.375,1.728,0.825,0.926,0.463,2.867,2.553,0,0.309,43.048,0,0,5.342,0,0,0.511,0,0.463,1.06,0,0.039,0,0,0.309,0.154,0.118,0.154,0.707
r_g_19,0,0.973,1.947,16.758,0,26.576,0.127,4.782,0,3.089,1.397,0,1.523,0.127,0.212,0.254,0.508,0,0,2.92,2.074,0.804,2.328,0.212,6.348,0,1.1,113.077,0,5.375,0,53.153,0,0.804,0.846,0.719,0.339,0.804,0.719,0.592,0.889,0.296,0.889,0.339,0.889,0.254,0.466,0.466,1.016,0,12.653,0.508,0.466,2.37,1.523,1.481,12.603,52.898,0.506,0.212,0.368,2.162,0,0.423,0,1.38,31.831,1.693,1.058,44.434,40.294,2.116,1.38,3.358,1.058,0,1.38,0.635,1.702,0.414,3.808,89.052,0,2.53,0,0.212,0.635,1.904,0.322,0.846,0.846,0.368,2.833,0.506,0.092,0,0.046,0.635,18.445,2.061,0.552,1.196,4.922,0.423,0,1.794,4.6,0.046,0.635,16.237,0,0.212,8.97,0,0,0.69,0,0.423,1.84,0.635,0.138,0,0,0,0,0.092,0,1.38
r_g_20,1.48,2.422,0,20.807,5.336,21.435,0,0.673,0,1.076,0.717,0,45.202,0.897,0.987,0,0.404,1.614,0,0.538,21.659,1.883,0.314,0,2.78,0,1.794,25.74,0,0.583,0,5.65,9.596,0.628,0,0.404,0,0.269,0.807,122.018,0.628,0.448,0.179,4.753,0.179,0.852,0.762,0,1.031,0,4.395,0,0,10.314,0.269,1.403,15.955,68.427,0.599,0.701,0.524,2.36,0,0,0,1.049,43.558,0.701,0.421,37.341,12.846,1.122,1.011,2.622,0,0.421,0.3,0.561,1.124,0.15,1.262,20.712,0,1.948,0.561,0.561,0,3.507,0.824,0,0,15.693,1.066,0.337,0.037,1.122,0.112,0.561,7.378,6.705,0.112,0.599,3.371,0.842,6.453,1.648,3.258,0.037,0.14,7.453,0,0,5.094,0,0,0.412,0,0.421,0.861,0.421,1.199,0,0,0,0,0.075,0.14,0.637
r_g_21,3.767,4.11,332.192,1647.603,0,178.425,15.068,22.603,9.932,0,9.589,1.712,0,5.479,82.192,1.37,0,4.11,0,127.74,1.37,0,4.452,136.986,160.959,0.685,2.397,267.466,0,15.753,0,1.37,2.397,2.055,1.027,3.767,0.342,7.877,2.055,0,8.219,0,0,0,1.027,0,0.342,0,4.11,0,44.178,1.712,1.027,1.712,16.096,1.522,14.697,67.248,0.654,0.951,0.436,2.966,0,0.761,0,1.177,33.014,0,1.522,48.321,24.466,5.325,0.872,3.14,0,0.951,0.611,0.571,1.308,0,2.663,64.85,0,1.701,0.38,0,0,1.902,0.48,0.761,0.761,0.262,1.637,0.654,0.174,0,0.087,0.761,17.575,2.104,0.48,2.093,4.143,0,5.896,1.265,3.053,0.174,1.331,13.519,0,0.38,5.102,0,0,0.523,0,0.951,1.09,1.902,1.439,0.19,0,0,0,0.087,0,0.829
